nool;100m;Longueur;Poids;Hauteur;Perche;Javelot;1500m;Classement;Points
Sebrle;10.85;7.84;16.36;2.12;5;70.52;280.01;1;8893
Clay;10.44;7.96;15.23;2.06;4.9;69.71;282;2;8820
Karpov;10.5;7.81;15.93;2.09;4.6;55.54;278.11;3;8725
Macey;10.89;7.47;15.73;2.15;4.4;58.46;265.42;4;8414
Warners;10.62;7.74;14.48;1.97;4.9;55.39;278.05;5;8343
Zsivoczky;10.91;7.14;15.31;2.12;4.7;63.45;269.54;6;8287
Hernu;10.97;7.19;14.65;2.03;4.8;57.76;264.35;7;8237
Nool;10.8;7.53;14.26;1.88;5.4;61.33;276.33;8;8235
Bernard;10.69;7.48;14.8;2.12;4.4;55.27;276.31;9;8225
Schwarzl;10.98;7.49;14.01;1.94;5.1;56.32;273.56;10;8102
Pogorelov;10.95;7.31;15.1;2.06;5;53.45;287.63;11;8084
Schoenbeck;10.9;7.3;14.77;1.88;5;60.89;278.82;12;8077
Barras;11.14;6.99;14.91;1.94;4.6;64.55;267.09;13;8067
Smith;10.85;6.81;15.24;1.91;4.2;61.52;272.74;14;8023
Averyanov;10.55;7.34;14.44;1.94;4.8;54.51;271.02;15;8021
Ojaniemi;10.68;7.5;14.97;1.94;4.6;59.26;275.71;16;8006
Smirnov;10.89;7.07;13.88;1.94;4.7;60.88;263.31;17;7993
Qi;11.06;7.34;13.55;1.97;4.5;60.79;272.63;18;7934
Drews;10.87;7.38;13.07;1.88;5;51.53;274.21;19;7926
Parkhomenko;11.14;6.61;15.69;2.03;4.8;65.82;277.94;20;7918
Terek;10.92;6.94;15.15;1.94;5.3;50.62;290.36;21;7893
Gomez;11.08;7.26;14.57;1.85;4.4;60.71;269.7;22;7865
Turi;11.08;6.91;13.62;2.03;4.8;59.34;290.01;23;7708
BARRAS;11.33;6.97;14.09;1.95;4.72;55.4;282;11;7708
NOOL;11.33;7.27;12.68;1.98;4.62;57.44;266.6;12;7651
