Nom et Prénom,ASS - Unevercity,Spciality,H indice global,Citations global,H indice_I10 global,H indice depuis 2018,Citations depuis 2018,H indice_I10 depuis 2018,Article Count,faculty
salah er-raki,"ProcEDE- FST de Marrakech,Université Cadi Ayyad",physiqueirrigationAgricultural Sciencesremote sensingGeoscience,37,5231,69,34,3308,63,20,FSTG
Abdelkader Outzourhit,Université Cadi Ayyad,Energies renouvelablesPVStockage,29,3973,105,22,1899,66,20,Other
Jamal Ezzahar,"MISCOM, ENSA Safi,Université Cadi Ayyad Marrakech",Land-atmosphere interactionsSoil MoistureRemote sensingEvapotranspirationPhysics,28,3703,46,26,2399,41,20,ENSA
ouazzani naaila,"professeur à l'université Cadi Ayyad, Marrakech",Wastewater treatment and reuse,31,3549,72,26,2502,60,20,None
Saïd Khabba,Professeur de l'Université Cadi Ayyad,Ressources en eauBesoin en eau des culturesmodèlestélédétectionsemi-aride,32,3474,65,28,2490,53,20,None
ABDELGHANI BELLOUQUID,"professeur de mathématique,université cadi ayyad",modélisation des systèmes complexes et analyse mathématique,28,3362,43,16,1571,23,20,None
Soulaimani Abderrahmane,"Professor,Cadi Ayyad University, Marrakech, Morocco",Tectonic and Regional Geology,29,3322,52,25,2041,44,20,None
GHOULAM Cherki,"Faculty of Sciences and Techniques,Cadi Ayyad University",Agrophysiologie,29,3213,49,22,1858,43,20,FSTG
Yedir Ouhdouch,professeur de microbiologieUniversité Cadi  Ayyad,Actinobactériesbiotechnologie microbiennesolubilisation des phosphateproduction d'antibiotique,25,3007,46,20,1875,40,20,None
El Modafar cherkaoui,"Professeur de Biologie,Université Cadi Ayyad",Biotechnologies végétles,31,2963,77,25,2052,58,20,None
salah er-raki,"ProcEDE- FST de Marrakech,Université Cadi Ayyad",physiqueirrigationAgricultural Sciencesremote sensingGeoscience,37,5231,69,34,3308,63,20,FSTG
Abdelkader Outzourhit,Université Cadi Ayyad,Energies renouvelablesPVStockage,29,3973,105,22,1899,66,20,Other
Jamal Ezzahar,"MISCOM, ENSA Safi,Université Cadi Ayyad Marrakech",Land-atmosphere interactionsSoil MoistureRemote sensingEvapotranspirationPhysics,28,3703,46,26,2399,41,20,ENSA
ouazzani naaila,"professeur à l'université Cadi Ayyad, Marrakech",Wastewater treatment and reuse,31,3549,72,26,2502,60,20,None
Saïd Khabba,Professeur de l'Université Cadi Ayyad,Ressources en eauBesoin en eau des culturesmodèlestélédétectionsemi-aride,32,3474,65,28,2490,53,20,None
ABDELGHANI BELLOUQUID,"professeur de mathématique,université cadi ayyad",modélisation des systèmes complexes et analyse mathématique,28,3362,43,16,1571,23,20,None
Soulaimani Abderrahmane,"Professor,Cadi Ayyad University, Marrakech, Morocco",Tectonic and Regional Geology,29,3322,52,25,2041,44,20,None
GHOULAM Cherki,"Faculty of Sciences and Techniques,Cadi Ayyad University",Agrophysiologie,29,3213,49,22,1858,43,20,FSTG
Yedir Ouhdouch,professeur de microbiologieUniversité Cadi  Ayyad,Actinobactériesbiotechnologie microbiennesolubilisation des phosphateproduction d'antibiotique,25,3007,46,20,1875,40,20,None
El Modafar cherkaoui,"Professeur de Biologie,Université Cadi Ayyad",Biotechnologies végétles,31,2963,77,25,2052,58,20,None
